Price,Close,High,Low,Open,Volume
Ticker,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD
Date,,,,,
2024-09-17,60148.67578125,60986.23828125,57683.16015625,58078.56640625,118290415
2024-09-18,61350.9453125,61350.9453125,59364.86328125,60149.46875,168594677
2024-09-19,62843.9765625,63565.15625,61358.42578125,61358.42578125,164996663
2024-09-20,63079.796875,63881.9453125,62582.484375,62843.9453125,161114398
2024-09-21,63325.921875,63367.9375,62754.3125,63080.19921875,69874740
2024-09-22,63493.01953125,63566.46875,62449.2109375,63325.828125,105560255
2024-09-23,63196.84765625,64435.7421875,62924.85546875,63493.4453125,305307855
2024-09-24,64186.21484375,64323.03515625,62685.74609375,63202.18359375,212169222
2024-09-25,62998.87890625,64344.35546875,62915.73046875,64183.765625,172267313
2024-09-26,64940.3359375,65398.37109375,62709.0703125,62998.94921875,157483628
2024-09-27,65680.203125,66182.6015625,64835.83984375,64940.28125,165254339
2024-09-28,65690.65625,65943.875,65354.12890625,65680.2578125,88606293
2024-09-29,65585.875,65824.4296875,65330.71484375,65684.109375,81215520
2024-09-30,63193.12109375,65585.6796875,63111.546875,65585.6796875,306179832
2024-10-01,60798.35546875,63950.3359375,60321.41796875,63196.90625,274326219
2024-10-02,60582.37109375,62063.421875,60059.90625,60797.15234375,220961875
2024-10-03,60699.68359375,61253.1484375,60055.140625,60581.9453125,150768945
2024-10-04,61997.7578125,62260.5234375,60516.55859375,60702.36328125,153730264
2024-10-05,61959.5546875,62184.54296875,61666.1328125,61998.203125,43186715
2024-10-06,62617.00390625,62679.26171875,61789.2578125,61961.0,50936693
2024-10-07,62287.73828125,63880.85546875,62287.73828125,62617.25,185032756
2024-10-08,62069.96484375,62702.91015625,61988.51953125,62283.23046875,127087357
2024-10-09,60579.75,62306.27734375,60421.8359375,62069.99609375,295775536
2024-10-10,60121.3359375,61050.609375,59001.2109375,60579.2265625,225677417
2024-10-11,62409.66796875,62982.67578125,60058.984375,60121.921875,137028461
2024-10-12,63135.32421875,63229.65625,62410.203125,62410.203125,81224017
2024-10-13,62759.09765625,63177.59375,62156.83984375,63135.34375,95582703
2024-10-14,65926.7109375,66070.140625,62466.32421875,62759.98046875,324489027
2024-10-15,66803.2734375,67205.0703125,65032.1875,65926.3984375,308185393
2024-10-16,67531.625,68050.328125,66700.2578125,66803.2734375,211059749
2024-10-17,67182.2734375,67694.8984375,66680.078125,67531.1015625,191761749
2024-10-18,68258.796875,68753.5703125,67077.296875,67185.2578125,244519702
2024-10-19,68250.515625,68423.8515625,68008.9921875,68258.9921875,63081346
2024-10-20,68938.625,69089.0078125,68039.3046875,68255.2890625,168715528
2024-10-21,67416.8125,69235.3203125,66926.765625,68939.265625,185371888
2024-10-22,67293.484375,67530.1796875,66691.421875,67416.296875,161458980
2024-10-23,66280.25,67305.3828125,65293.4296875,67293.15625,207198066
2024-10-24,68017.578125,68268.0234375,66359.2734375,66463.9609375,142034272
2024-10-25,66429.7265625,68278.796875,65704.4296875,68023.7734375,246527655
2024-10-26,66957.25,67112.3046875,66432.328125,66432.328125,147898288
2024-10-27,67833.171875,67937.9921875,66845.203125,66959.375,103854818
2024-10-28,69770.4609375,69880.0234375,67482.8359375,67832.4140625,210903027
2024-10-29,72529.25,73211.6953125,69685.9765625,69770.53125,368430504
2024-10-30,72281.1796875,72536.140625,71583.984375,72529.8203125,279495080
2024-10-31,70263.78125,72316.984375,69881.0546875,72281.1640625,249255520
2024-11-01,69360.25,71191.140625,68916.796875,70259.03125,219825231
2024-11-02,69249.9609375,69631.3125,69129.5703125,69360.578125,104347449
2024-11-03,68692.828125,69278.578125,67579.90625,69250.3359375,188416282
2024-11-04,67704.453125,69118.171875,66939.0546875,68692.828125,224743465
2024-11-05,69366.984375,70112.6328125,67618.4921875,67704.9140625,187702970
2024-11-06,75595.71875,75971.4375,69352.609375,69367.1796875,542248674
2024-11-07,75895.859375,76532.96875,74547.625,75595.984375,463052929
2024-11-08,76471.2421875,77022.671875,75691.9921875,75895.8359375,321005407
2024-11-09,76610.0390625,76661.9765625,75900.1328125,76471.2421875,269586582
2024-11-10,80327.40625,80818.9453125,76535.765625,76609.1875,446822332
2024-11-11,88384.921875,88861.8828125,80307.4375,80327.734375,762901141
2024-11-12,87882.5546875,89468.796875,85529.1796875,88385.1484375,815403192
2024-11-13,90137.40625,92736.7265625,86158.4296875,87878.0234375,627983806
2024-11-14,87007.625,91126.359375,86880.640625,90135.640625,568204434
2024-11-15,91058.8125,91303.34375,87010.2578125,87010.2578125,336628633
2024-11-16,90359.8828125,91325.2265625,90173.8828125,90950.75,211861999
2024-11-17,89595.921875,90959.453125,89193.0703125,90359.703125,242000995
2024-11-18,90519.8828125,91956.2734375,89564.1484375,89597.5234375,436728754
2024-11-19,92124.703125,93523.0546875,90472.4765625,90519.2265625,506495873
2024-11-20,93961.7421875,94524.28125,91686.3359375,92125.7734375,481683702
2024-11-21,98175.0703125,98363.3046875,93961.234375,93963.140625,902973653
2024-11-22,98726.2109375,99119.875,97275.3359375,98178.015625,591391076
2024-11-23,97475.3828125,98742.8359375,97149.3203125,98729.671875,709283304
2024-11-24,97651.1015625,98264.859375,95775.1484375,97476.0546875,450920920
2024-11-25,93235.125,98524.3984375,92899.8359375,97668.7890625,725963812
2024-11-26,91786.1171875,94613.3359375,90907.2265625,93235.0703125,493322401
2024-11-27,95885.125,96866.4765625,91697.6484375,91785.6328125,552698126
2024-11-28,95473.2890625,96302.2890625,94805.15625,95884.25,261626794
