Price,Close,High,Low,Open,Volume
Ticker,WBETH-USD,WBETH-USD,WBETH-USD,WBETH-USD,WBETH-USD
Date,,,,,
2024-10-13,2594.030029296875,2611.110595703125,2561.2529296875,2602.352294921875,2411637
2024-10-14,2764.340576171875,2789.287841796875,2573.95263671875,2594.030029296875,5769602
2024-10-15,2741.404052734375,2826.376708984375,2670.8955078125,2764.340576171875,7639010
2024-10-16,2745.775390625,2783.84619140625,2723.9248046875,2741.404052734375,5529104
2024-10-17,2736.5927734375,2784.59814453125,2710.682373046875,2745.814453125,4683975
2024-10-18,2780.594482421875,2814.301513671875,2729.633056640625,2737.4638671875,7509683
2024-10-19,2786.13134765625,2802.40234375,2767.4892578125,2780.115966796875,3292381
2024-10-20,2888.904541015625,2899.9921875,2772.216064453125,2786.432373046875,2605582
2024-10-21,2804.333984375,2910.50244140625,2794.797607421875,2889.2333984375,6580276
2024-10-22,2756.746337890625,2809.40966796875,2741.967041015625,2804.333984375,2277234
2024-10-23,2642.678955078125,2762.12646484375,2594.3466796875,2756.737548828125,6231048
2024-10-24,2666.54736328125,2693.622314453125,2637.8046875,2656.9111328125,9945263
2024-10-25,2561.0390625,2697.964599609375,2506.41064453125,2666.54736328125,6452893
2024-10-26,2609.52587890625,2634.943359375,2553.850341796875,2560.87109375,2432432
2024-10-27,2637.29638671875,2655.738037109375,2591.5029296875,2609.90966796875,3416203
2024-10-28,2699.349609375,2723.390380859375,2599.659912109375,2637.29638671875,3626909
2024-10-29,2776.96337890625,2821.74853515625,2694.63623046875,2699.349609375,11713347
2024-10-30,2797.724853515625,2863.32177734375,2738.08935546875,2777.11279296875,6769003
2024-10-31,2649.51904296875,2808.930908203125,2634.801025390625,2797.724853515625,6942585
2024-11-01,2647.8916015625,2721.933349609375,2598.988037109375,2649.51904296875,1974786
2024-11-02,2624.10546875,2657.96240234375,2603.47412109375,2647.8916015625,1370532
2024-11-03,2586.69140625,2628.6259765625,2539.47607421875,2624.083740234375,2799854
2024-11-04,2524.258544921875,2620.8076171875,2487.36181640625,2586.69140625,21340327
2024-11-05,2550.992431640625,2611.894287109375,2507.2265625,2524.258544921875,7879727
2024-11-06,2869.1474609375,2889.246337890625,2550.901611328125,2551.407958984375,21540918
2024-11-07,3050.802490234375,3074.244384765625,2844.98779296875,2868.98828125,21714228
2024-11-08,3122.18603515625,3142.20068359375,3043.6279296875,3050.802490234375,9100161
2024-11-09,3300.118408203125,3326.519287109375,3115.826904296875,3121.973876953125,13073821
2024-11-10,3362.038818359375,3423.30419921875,3236.51953125,3298.88134765625,26407793
2024-11-11,3554.2373046875,3581.168212890625,3274.087158203125,3362.038818359375,51580493
2024-11-12,3420.153564453125,3624.986328125,3382.863525390625,3555.192138671875,33650966
2024-11-13,3364.6357421875,3515.7578125,3290.687744140625,3419.50048828125,19947066
2024-11-14,3221.398193359375,3415.002685546875,3202.6494140625,3364.524658203125,20969551
2024-11-15,3271.02978515625,3299.87353515625,3179.8076171875,3221.398193359375,15794701
2024-11-16,3302.4091796875,3393.117919921875,3240.083984375,3255.957763671875,6579901
2024-11-17,3241.63916015625,3330.69921875,3205.178466796875,3302.4091796875,10042863
2024-11-18,3378.218505859375,3400.79931640625,3217.971923828125,3241.746826171875,12057496
2024-11-19,3280.018310546875,3395.897705078125,3237.230712890625,3379.785888671875,18428355
2024-11-20,3239.42431640625,3333.472412109375,3198.385009765625,3280.018310546875,13492302
2024-11-21,3545.337890625,3574.69677734375,3200.91455078125,3239.42431640625,21745064
2024-11-22,3514.310546875,3615.585693359375,3440.389404296875,3544.46044921875,20644204
2024-11-23,3582.663330078125,3691.536865234375,3501.152099609375,3514.310546875,18152845
2024-11-24,3547.9462890625,3640.325439453125,3469.591064453125,3582.663330078125,10583296
2024-11-25,3604.93359375,3739.990478515625,3483.92822265625,3547.9462890625,23667734
2024-11-26,3509.631103515625,3651.892822265625,3435.266357421875,3603.750244140625,10172493
2024-11-27,3858.680419921875,3891.241943359375,3485.19921875,3509.4267578125,21698245
2024-11-28,3776.984130859375,3866.514404296875,3726.739013671875,3858.680419921875,12727349
2024-11-29,3789.232421875,3845.52099609375,3733.27099609375,3777.11328125,10465128
2024-11-30,3912.52294921875,3946.666748046875,3766.615966796875,3789.3701171875,16192842
2024-12-01,3914.996337890625,3954.07421875,3867.036376953125,3912.52294921875,26748165
2024-12-02,3844.82763671875,3970.744873046875,3760.87109375,3916.126220703125,25830637
2024-12-03,3822.906005859375,3874.763427734375,3703.952880859375,3845.98388671875,12062341
2024-12-04,4048.257568359375,4109.2724609375,3820.728515625,3822.79638671875,36236516
2024-12-05,4010.6201171875,4166.57080078125,3927.029541015625,4048.269287109375,31241189
2024-12-06,4214.68896484375,4307.49365234375,3991.75634765625,3999.402099609375,36402233
2024-12-07,4220.453125,4253.08154296875,4195.701171875,4214.921875,19909162
2024-12-08,4225.8798828125,4237.59375,4144.55078125,4231.64990234375,20778843
2024-12-09,3918.520263671875,4222.86474609375,3726.685546875,4219.5283203125,41660834
2024-12-10,3832.99609375,3989.968994140625,3715.951171875,3919.082763671875,24659450
2024-12-11,4047.546875,4065.04931640625,3766.142578125,3832.8466796875,19217317
2024-12-12,4100.83154296875,4210.923828125,4012.702880859375,4047.546875,11351760
2024-12-13,4130.48974609375,4188.552734375,4069.105224609375,4100.36083984375,18040805
2024-12-14,4086.767578125,4163.72216796875,4041.004150390625,4131.02978515625,13080801
2024-12-15,4172.4345703125,4196.03076171875,4047.060791015625,4086.767578125,16532126
2024-12-16,4212.36328125,4340.16943359375,4103.0078125,4172.849609375,23224703
2024-12-17,4105.22119140625,4270.6650390625,4068.35205078125,4212.69677734375,12025287
2024-12-18,3825.762939453125,4126.7236328125,3823.2802734375,4107.62646484375,12597801
2024-12-19,3611.808837890625,3928.523681640625,3518.3427734375,3825.111083984375,20802241
2024-12-20,3670.6845703125,3695.299072265625,3273.49658203125,3611.623291015625,33886834
2024-12-21,3528.340576171875,3754.12548828125,3480.158203125,3670.93359375,18554103
2024-12-22,3469.390625,3594.072998046875,3403.02490234375,3528.340576171875,8789743
2024-12-23,3608.947265625,3657.0625,3401.784423828125,3469.7900390625,12321822
2024-12-24,3694.79638671875,3738.443603515625,3546.777587890625,3608.24267578125,9663997
2024-12-25,3696.499267578125,3748.2001953125,3638.183349609375,3694.21337890625,5806577
2024-12-26,3524.51806640625,3714.931884765625,3492.508056640625,3694.5009765625,10415665
2024-12-27,3518.073486328125,3635.431884765625,3493.765380859375,3524.19677734375,5156618
2024-12-28,3594.47216796875,3616.047607421875,3508.97265625,3520.17919921875,1890102
2024-12-29,3542.377685546875,3603.98779296875,3512.248779296875,3593.77734375,8338479
2024-12-30,3551.166259765625,3625.597412109375,3489.0771484375,3542.377685546875,5906556
2024-12-31,3525.692626953125,3644.123291015625,3502.986328125,3551.250244140625,12321691
2025-01-01,3547.468994140625,3560.52001953125,3503.896484375,3524.935546875,4771349
2025-01-02,3653.39599609375,3696.01806640625,3541.822509765625,3547.888427734375,5813363
2025-01-03,3814.07958984375,3838.86865234375,3621.183837890625,3652.962646484375,15143604
2025-01-04,3870.926025390625,3883.23095703125,3783.365478515625,3814.24267578125,17178847
2025-01-05,3844.886962890625,3889.6474609375,3806.656494140625,3870.3291015625,27722151
2025-01-06,3904.31201171875,3963.59423828125,3821.41162109375,3844.886962890625,7786455
2025-01-07,3579.9755859375,3918.6806640625,3554.25048828125,3905.556640625,6950166
2025-01-08,3520.2548828125,3612.7451171875,3402.333251953125,3579.9755859375,4786761
2025-01-09,3407.2470703125,3552.57958984375,3344.587158203125,3520.46337890625,5399474
2025-01-10,3461.1474609375,3516.33154296875,3386.2939453125,3407.43505859375,13618999
2025-01-11,3474.883056640625,3513.76220703125,3410.84716796875,3461.1474609375,3888966
2025-01-12,3459.017822265625,3494.38525390625,3415.32861328125,3474.883056640625,2979506
2025-01-13,3323.146728515625,3533.591552734375,3103.592041015625,3458.500732421875,12809048
2025-01-14,3418.1201171875,3447.8994140625,3311.11083984375,3322.132080078125,7546481
2025-01-15,3653.373291015625,3677.6513671875,3374.5078125,3418.1201171875,9210637
2025-01-16,3504.21240234375,3662.94189453125,3458.170654296875,3655.14501953125,10449732
2025-01-17,3680.90576171875,3733.584716796875,3502.4462890625,3504.21240234375,19486591
2025-01-18,3499.141357421875,3700.667724609375,3421.450439453125,3680.556884765625,31383028
2025-01-19,3392.26416015625,3641.77783203125,3304.83740234375,3499.141357421875,38303149
2025-01-20,3471.331787109375,3645.654541015625,3335.1640625,3392.241943359375,19767069
2025-01-21,3523.912841796875,3562.660400390625,3391.2353515625,3471.331787109375,7465416
2025-01-22,3432.192626953125,3562.697998046875,3416.75732421875,3523.8310546875,10424492
2025-01-23,3533.6474609375,3543.46533203125,3376.4697265625,3432.073486328125,5363280
2025-01-24,3505.12060546875,3624.240966796875,3471.310546875,3530.12548828125,5726490
2025-01-25,3512.75341796875,3547.486572265625,3465.399658203125,3506.733154296875,3789467
2025-01-26,3427.896484375,3558.544189453125,3425.51025390625,3512.92578125,4381226
2025-01-27,3370.488525390625,3443.01318359375,3209.304931640625,3427.896484375,10882950
2025-01-28,3264.130615234375,3417.0927734375,3223.638916015625,3370.488525390625,2548235
2025-01-29,3300.521728515625,3370.205322265625,3239.65576171875,3264.130615234375,3405789
2025-01-30,3444.19287109375,3480.916748046875,3280.8583984375,3301.56884765625,4836477
2025-01-31,3495.88916015625,3643.026123046875,3408.770751953125,3444.19287109375,11105165
2025-02-01,3306.80029296875,3530.40087890625,3292.56689453125,3496.276123046875,10095221
2025-02-02,3041.831787109375,3353.139404296875,2950.57861328125,3306.7548828125,17937643
2025-02-03,3056.93701171875,3093.77001953125,2312.9248046875,3042.19384765625,73598849
2025-02-04,2898.729736328125,3062.368408203125,2795.429931640625,3057.52685546875,16730041
2025-02-05,2956.203369140625,2993.48779296875,2863.767822265625,2898.729736328125,8950798
2025-02-06,2850.549560546875,3028.5234375,2824.455078125,2955.491943359375,5411306
2025-02-07,2783.41552734375,2968.122314453125,2720.843505859375,2850.502685546875,9713229
2025-02-08,2792.446533203125,2827.420654296875,2749.85205078125,2783.41552734375,3944016
2025-02-09,2789.82373046875,2847.18310546875,2687.971435546875,2792.522216796875,3912373
2025-02-10,2824.963134765625,2858.713134765625,2721.4716796875,2789.2333984375,10987573
2025-02-11,2763.440185546875,2892.730712890625,2740.464111328125,2824.96142578125,5353354
2025-02-12,2906.057861328125,2961.576171875,2710.946533203125,2762.56494140625,11690944
2025-02-13,2839.906494140625,2924.154541015625,2777.173583984375,2904.974853515625,5752740
2025-02-14,2893.646484375,2960.853759765625,2829.95263671875,2840.191162109375,4244867
2025-02-15,2860.8095703125,2907.7900390625,2837.600830078125,2894.20556640625,4778879
2025-02-16,2827.911376953125,2890.503173828125,2821.0400390625,2860.654296875,5352444
2025-02-17,2912.885009765625,3023.7236328125,2807.3173828125,2827.370849609375,18773428
2025-02-18,2831.8828125,2925.145751953125,2767.096435546875,2912.642822265625,4150183
2025-02-19,2884.580810546875,2904.318115234375,2818.933349609375,2831.8828125,3710140
2025-02-20,2910.136474609375,2941.12646484375,2876.3115234375,2884.703125,5825838
2025-02-21,2824.731689453125,3017.471435546875,2778.80419921875,2909.361572265625,12994511
2025-02-22,2935.706787109375,2969.5322265625,2818.657470703125,2824.607666015625,5150850
2025-02-23,2996.171142578125,3020.679443359375,2916.662109375,2935.762451171875,7739912
2025-02-24,2668.61083984375,3014.5595703125,2640.747802734375,2995.42919921875,12212121
2025-02-25,2650.659423828125,2687.245849609375,2476.25390625,2669.4228515625,24285528
2025-02-26,2475.233642578125,2659.352294921875,2398.8154296875,2651.43603515625,9842629
2025-02-27,2449.8896484375,2526.35107421875,2371.317626953125,2475.652099609375,8020496
2025-02-28,2374.0107421875,2456.00341796875,2206.35595703125,2450.1259765625,26598116
2025-03-01,2353.921875,2421.326904296875,2277.26513671875,2374.320556640625,10441880
2025-03-02,2676.7509765625,2703.9501953125,2312.97900390625,2353.921875,69716956
2025-03-03,2277.382568359375,2678.71337890625,2227.010498046875,2676.53759765625,37454691
2025-03-04,2306.111083984375,2357.371826171875,2127.858154296875,2277.96875,24245376
2025-03-05,2382.6240234375,2414.239501953125,2291.943603515625,2306.384765625,9172136
2025-03-06,2341.68994140625,2465.44140625,2315.79052734375,2382.187744140625,11031143
2025-03-07,2273.90283203125,2391.61181640625,2238.976318359375,2341.68994140625,5785603
2025-03-08,2340.39208984375,2371.37353515625,2243.23046875,2274.3642578125,5144885
2025-03-09,2141.967529296875,2349.984130859375,2116.71044921875,2340.550537109375,7250426
2025-03-10,1985.0433349609375,2282.501220703125,1932.8958740234375,2141.93505859375,17433392
2025-03-11,2040.7335205078125,2085.00146484375,1871.314697265625,1980.4974365234375,11094298
2025-03-12,2029.9171142578125,2078.093017578125,1950.267578125,2041.04736328125,16989973
2025-03-13,1981.1583251953125,2037.5384521484375,1939.919677734375,2029.511474609375,9944296
